tool,T,tp,fp,tn,fn,precision,recall,f1
ccfx-16-9,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-17-1,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-17-2,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-17-3,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-17-4,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-17-5,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-17-6,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-17-7,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-17-8,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-17-9,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-18-1,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-18-2,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-18-3,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-18-4,83,109,2,11770,0,0.981981982,1,0.990909091
ccfx-18-5,10,20,1732,3560,29,0.011415525,0.408163265,0.022209883
ccfx-20-1,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-20-2,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-20-3,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-20-4,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-20-5,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-20-6,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-20-7,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-20-8,20,5,187,1433,10,0.026041667,0.333333333,0.048309179
ccfx-22-1,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-22-2,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-22-3,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-22-4,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-22-5,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-22-6,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-22-7,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-24-1,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-24-2,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-24-3,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-24-4,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-24-5,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-24-6,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-24-7,82,109,2,11770,0,0.981981982,1,0.990909091
ccfx-default,83,109,2,11770,0,0.981981982,1,0.990909091
jplag-java-10,93,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-11,93,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-12,93,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-1,99,109,8,11764,0,0.931623932,1,0.96460177
jplag-java-2,99,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-3,99,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-4,97,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-5,97,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-6,97,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-7,93,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-8,93,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-9,93,109,4,11768,0,0.96460177,1,0.981981982
jplag-java-default,93,109,4,11768,0,0.96460177,1,0.981981982
jplag-text-10,46,109,4,11768,0,0.96460177,1,0.981981982
jplag-text-11,46,109,4,11768,0,0.96460177,1,0.981981982
jplag-text-12,46,109,4,11768,0,0.96460177,1,0.981981982
jplag-text-1,94,108,2,11770,1,0.981818182,0.990825688,0.98630137
jplag-text-2,94,108,2,11770,1,0.981818182,0.990825688,0.98630137
jplag-text-3,94,108,2,11770,1,0.981818182,0.990825688,0.98630137
jplag-text-4,70,109,4,11768,0,0.96460177,1,0.981981982
jplag-text-5,65,109,4,11768,0,0.96460177,1,0.981981982
jplag-text-6,65,109,4,11768,0,0.96460177,1,0.981981982
jplag-text-7,52,109,4,11768,0,0.96460177,1,0.981981982
jplag-text-8,49,109,4,11768,0,0.96460177,1,0.981981982
jplag-text-9,48,109,4,11768,0,0.96460177,1,0.981981982
ncd-bzlib,87,109,0,11772,0,1,1,1
py-difflib.SM_autojunk,98,109,2,11770,0,0.981981982,1,0.990909091
py-difflib.SM_noautojunk,98,109,2,11770,0,0.981981982,1,0.990909091
py-difflib.SM_nowhitespace_autojunk,98,109,2,11770,0,0.981981982,1,0.990909091
py-difflib.SM_nowhitespace_noautojunk,98,109,2,11770,0,0.981981982,1,0.990909091
py-sklearn.cosine_similarity,99,109,0,11772,0,1,1,1
simjava-10,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-11,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-12,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-13,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-14,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-15,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-16,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-17,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-18,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-19,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-20,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-21,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-22,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-23,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-24,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-25,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-26,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-27,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-28,96,109,2,11770,0,0.981981982,1,0.990909091
simjava-default,96,109,2,11770,0,0.981981982,1,0.990909091
