tool,T,tp,fp,tn,fn,precision,recall,f1
7zncd-BZip2-1,85,109,2,11770,0,0.981981982,1,0.990909091
7zncd-BZip2-3,85,109,2,11770,0,0.981981982,1,0.990909091
7zncd-BZip2-5,85,109,2,11770,0,0.981981982,1,0.990909091
7zncd-BZip2-7,85,108,2,11770,1,0.981818182,0.990825688,0.98630137
7zncd-BZip2-9,85,108,2,11770,1,0.981818182,0.990825688,0.98630137
7zncd-default,95,109,2,11770,0,0.981981982,1,0.990909091
7zncd-Deflate-1,93,108,2,11770,1,0.981818182,0.990825688,0.98630137
7zncd-Deflate-3,93,108,2,11770,1,0.981818182,0.990825688,0.98630137
7zncd-Deflate-5,93,109,2,11770,0,0.981981982,1,0.990909091
7zncd-Deflate64-1,92,108,2,11770,1,0.981818182,0.990825688,0.98630137
7zncd-Deflate64-3,92,108,2,11770,1,0.981818182,0.990825688,0.98630137
7zncd-Deflate64-5,93,108,2,11770,1,0.981818182,0.990825688,0.98630137
7zncd-Deflate64-7,93,109,2,11770,0,0.981981982,1,0.990909091
7zncd-Deflate64-9,93,109,2,11770,0,0.981981982,1,0.990909091
7zncd-Deflate-7,95,109,1,11771,0,0.990909091,1,0.99543379
7zncd-Deflate-9,95,109,1,11771,0,0.990909091,1,0.99543379
7zncd-LZMA-1,97,109,0,11772,0,1,1,1
7zncd-LZMA2-1,97,109,0,11772,0,1,1,1
7zncd-LZMA2-3,97,109,0,11772,0,1,1,1
7zncd-LZMA2-5,95,109,2,11770,0,0.981981982,1,0.990909091
7zncd-LZMA2-7,95,109,2,11770,0,0.981981982,1,0.990909091
7zncd-LZMA2-9,95,109,2,11770,0,0.981981982,1,0.990909091
7zncd-LZMA-3,97,109,0,11772,0,1,1,1
7zncd-LZMA-5,95,109,2,11770,0,0.981981982,1,0.990909091
7zncd-LZMA-7,95,109,2,11770,0,0.981981982,1,0.990909091
7zncd-LZMA-9,95,109,2,11770,0,0.981981982,1,0.990909091
7zncd-PPMd-1,74,102,10,11762,7,0.910714286,0.935779817,0.923076923
7zncd-PPMd-3,74,102,10,11762,7,0.910714286,0.935779817,0.923076923
7zncd-PPMd-5,77,104,5,11767,5,0.95412844,0.95412844,0.95412844
7zncd-PPMd-7,83,109,4,11768,0,0.96460177,1,0.981981982
7zncd-PPMd-9,92,109,2,11770,0,0.981981982,1,0.990909091
ccfx-16-7,83,91,1,9827,0,0.989130435,1,0.994535519
ccfx-16-8,83,109,2,11770,0,0.981981982,1,0.990909091
